Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source	Points 1	Points 2
G	1	+100 kg	6	SV Gallneukirchen	Martin	Nagler	0	0	0	0	0	0	1	0	Swarovski Judo Wattens	Florian	Lindner	1	10	1	0	3	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-60 kg	7	SV Gallneukirchen	Valentin	Leonfellner	1	10	1	0	0	0	0	0	Swarovski Judo Wattens	Lukas	Petrischor	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-66 kg	8	SV Gallneukirchen	Paul	Schmiderer	0	0	0	0	0	0	3	0	Swarovski Judo Wattens	Ivo	Pasolli	1	1	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-73 kg	9	SV Gallneukirchen	Harald	Inreiter	1	10	1	0	0	0	0	0	Swarovski Judo Wattens	Florian	Happ	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-81 kg	10	SV Gallneukirchen	Ralf	Albrecht	0	0	0	0	0	0	1	1	Swarovski Judo Wattens	Severin	Grassmair	1	10	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-90 kg	11	SV Gallneukirchen	Marco	Inreiter	1	10	1	1	0	0	0	0	Swarovski Judo Wattens	Dominik	Schweighofer	0	0	0	1	2	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	-100 kg	12	SV Gallneukirchen	Martin	Mairhofer	1	10	1	0	0	0	0	0	Swarovski Judo Wattens	Lehel-Csaba	Imre	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	2	+100 kg	13	SV Gallneukirchen	Martin	Nagler	0	0	0	0	0	0	3	0	Swarovski Judo Wattens	Florian	Lindner	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-60 kg	0	SV Gallneukirchen	Valentin	Leonfellner	1	10	0	2	2	0	0	0	UNION Hartkirchen	Philipp	Lindinger	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-66 kg	1	SV Gallneukirchen	Paul	Schmiderer	0	0	0	0	0	0	0	0	UNION Hartkirchen	Florian	Doppelhammer	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
